Nadgrupa,Brand,Naziv artikla,Popust
,Sony,"TV SONY K65S35B.CEI, 165.1cm (65""), Direct LED, 4K UHD SMART TV, Android TV",15%
,Sony,"TV SONY K75S35B.CEI, 190.5cm (75""), Direct LED, 4K UHD SMART TV, Android TV",15%
,Sony,"TV SONY K85S35BP.CEI, 215.9cm (85""), Direct LED, 4K UHD SMART TV, Android TV",15%
Računala i monitori,ASUS,"Laptop ASUS ROG Strix G16, G615LW-S5031W, 40.6cm (16"") 2.5K WQXGA 240 Hz, Intel Core Ultra 9 275HX, 32 GB RAM, 2 TB SSD, nVidia RTX 5080 16GB, W11H",10%
Računala i monitori,ASUS,"Laptop ASUS ROG Strix SCAR 16, G635LX-RW103X, 40.6cm (16"") MiniLED 2.5K 240Hz, Intel Ultra 9 275HX, 64 GB RAM, 2 TB SSD, nVidia RTX 5090 24GB, W11P",10%
Računala i monitori,ASUS,"Laptop ASUS TUF Gaming A16, FA607NUG-RL142, 40.6cm (16"") FHD+ WUXGA 144Hz, AMD Ryzen 7 7445HS, 16 GB RAM, 1 TB SSD, nVidia RTX 4050 6GB, FreeDOS",10%
Računala i monitori,ASUS,"Laptop ASUS ROG Strix G18, G815LW-S9035W, 45.7cm (18"") 2.5K WQXGA 240 Hz, Intel Core Ultra 9 275HX, 32 GB RAM, 2 TB SSD, nVidia RTX 5080 16GB, W11H",10%
Računala i monitori,ASUS,"Laptop ASUS ROG Strix G16, G615JMR-RV063, 40.6cm (16"") FHD+ WUXGA 165Hz, Intel Core i7-14650HX, 32 GB RAM, 1 TB SSD, nVidia RTX 5060 8GB, FreeDOS",10%
Računala i monitori,ASUS,"Laptop ASUS TUF Gaming F16 FX608JPR-QT002, 40.6cm (16"") FHD+ WUXGA 165Hz, Intel Core i7-14650HX, 32 GB RAM, 1 TB SSD, nVidia RTX 5070 8GB, FreeDOS",10%
Računala i monitori,ASUS,"Laptop ASUS TUF Gaming A15, FA506NCG-HN185, 39.6cm (15,6"") FHD 144Hz, AMD Ryzen 7 7445HS, 16 GB RAM, 512 GB SSD, nVidia RTX 3050 4GB, FreeDOS",10%
Računala i monitori,ASUS,"Laptop ASUS TUF Gaming F16, FX608JMR-RV024, 40.6cm (16"") FHD+ WUXGA 165Hz, Intel Core i7-14650HX, 16 GB RAM, 1 TB SSD, nVidia RTX 5060 8GB, FreeDOS",10%
Računala i monitori,LENOVO,"Laptop LENOVO Legion 9i 83EY0019SC, 45.7cm (18"") IPS 440Hz, Intel Core Ultra 9 275HX, 64 GB RAM, 4 TB SSD, nVidia GeForce RTX 5090 24GB, FreeDOS",10%
